"INSTRUMENT TEMPERATURE, FORWARD (DEGREES CELSIUS)",5.8 DEGREES (COUNTS),16 DEGREES (COUNTS),40 DEGREES (COUNTS),70 DEGREES (COUNTS)
-50.0,2005.0,685.0,2460.0,1740.0
-48.0,1925.0,670.0,2356.0,1680.0
-46.0,1845.0,655.0,2252.0,1620.0
-44.0,1765.0,640.0,2151.0,1561.0
-42.0,1685.0,625.0,2053.0,1503.0
-40.0,1605.0,610.0,1955.0,1445.0
-38.0,1525.0,595.0,1853.0,1385.0
-36.0,1445.0,580.0,1751.0,1325.0
-34.0,1368.0,565.0,1649.0,1264.0
-32.0,1294.0,550.0,1547.0,1202.0
-30.0,1220.0,535.0,1445.0,1150.0
-28.0,1144.0,520.0,1339.0,1092.0
-26.0,1068.0,505.0,1233.0,1034.0
-24.0,991.0,490.0,1128.0,975.0
-22.0,913.0,475.0,1024.0,915.0
-20.0,835.0,460.0,920.0,855.0
-18.0,759.0,445.0,833.0,795.0
-16.0,675.0,430.0,745.0,743.0
-12.0,545.0,400.0,623.0,653.0
-8.0,478.0,370.0,544.0,602.0
-4.0,425.0,348.0,491.0,553.0
0.0,392.0,328.0,455.0,523.0
4.0,380.0,320.0,435.0,511.0
8.0,378.0,320.0,436.0,511.0
12.0,387.0,322.0,443.0,541.0
16.0,405.0,332.0,470.0,588.0
20.0,440.0,351.0,499.0,640.0
24.0,485.0,375.0,538.0,695.0
28.0,540.0,402.0,612.0,773.0
32.0,630.0,445.0,710.0,883.0
36.0,715.0,492.0,800.0,985.0
40.0,808.0,538.0,915.0,1107.0
44.0,905.0,587.0,1012.0,1211.0
48.0,998.0,620.0,1152.0,1315.0
50.0,1050.0,635.0,1220.0,1370.0
52.0,1096.0,646.0,1282.0,1426.0
54.0,1142.0,657.0,1344.0,1482.0
56.0,1190.0,669.0,1406.0,1537.0
58.0,1238.0,683.0,1468.0,1592.0
60.0,1287.0,696.0,1530.0,1647.0
62.0,1333.0,704.0,1592.0,1700.0
64.0,1379.0,712.0,1654.0,1753.0
66.0,1427.0,721.0,1716.0,1807.0
68.0,1476.0,730.0,1778.0,1861.0
70.0,1525.0,738.0,1840.0,1915.0
72.0,1571.0,746.0,1900.0,1969.0
74.0,1617.0,753.0,1960.0,2024.0
