"INSTRUMENT TEMPERATURE, BACKWARD (DEGREES CELSIUS)",178 DEGREES (COUNTS)
-50.0,2870.0
-48.0,2766.0
-46.0,2662.0
-44.0,2558.0
-42.0,2454.0
-40.0,2350.0
-38.0,2246.0
-36.0,2142.0
-34.0,2038.0
-32.0,1934.0
-30.0,1830.0
-28.0,1722.0
-26.0,1614.0
-24.0,1506.0
-22.0,1398.0
-20.0,1290.0
-18.0,1195.0
-16.0,1099.0
-12.0,940.0
-8.0,847.0
-4.0,793.0
0.0,780.0
4.0,794.0
8.0,830.0
12.0,914.0
16.0,1010.0
20.0,1130.0
24.0,1290.0
28.0,1390.0
32.0,1585.0
36.0,1800.0
40.0,1985.0
44.0,2040.0
48.0,2105.0
